PID 17: AUROC nan, Thr None
PID 40: AUROC 0.875, Thr 0.47
PID 39: AUROC 1.000, Thr 0.92
PID 36: AUROC 0.900, Thr 0.51
PID 35: AUROC 0.833, Thr 0.92
PID 34: AUROC 0.889, Thr 0.24
PID 32: AUROC 0.764, Thr 0.54
PID 25: AUROC 0.797, Thr 0.56
PID 16: AUROC 0.753, Thr 0.55
PID 10: AUROC 0.829, Thr 0.14
PID 15: AUROC 0.715, Thr 0.27
PID 18: AUROC 0.826, Thr 0.50
PID 20: AUROC 1.000, Thr 0.19
PID 22: AUROC 0.708, Thr 0.50
PID 23: AUROC 0.889, Thr 0.62
PID 24: AUROC 0.745, Thr 0.31
PID 26: AUROC 0.755, Thr 0.48
PID 33: AUROC 0.857, Thr 0.97
PID 31: AUROC 0.740, Thr 0.74
PID 30: AUROC 0.763, Thr 0.73
PID 16: AUROC 0.714, Thr 0.40
PID 16: AUROC 0.730, Thr 0.43
PID 16: AUROC 0.750, Thr 0.45
