participant,drop_group,AUROC
hp10,time_features,0.737–0.960)
hp10,step_features,0.713–0.953)
hp10,hr_features,0.622–0.926)
hp10,stress_features,0.636–0.938)
hp10,cumulative,0.737–0.988)
hp10,ratios,0.624–0.929)
hp10,bp_lags,0.648–0.962)
hp15,time_features,0.593–0.796)
hp15,step_features,0.625–0.817)
hp15,hr_features,0.598–0.812)
hp15,stress_features,0.518–0.729)
hp15,cumulative,0.600–0.797)
hp15,ratios,0.605–0.820)
hp15,bp_lags,0.596–0.798)
hp16,stress_features,0.489–0.807)
hp17,cumulative,nan–nan)
hp18,stress_features,0.696–1.000)
hp20,time_features,0.682–1.000)
hp20,step_features,0.850–1.000)
hp20,hr_features,0.734–1.000)
hp20,stress_features,0.761–1.000)
hp20,cumulative,0.845–1.000)
hp20,ratios,1.000–1.000)
hp20,bp_lags,0.855–1.000)
hp22,stress_features,0.569–0.892)
hp23,stress_features,0.800–1.000)
hp24,time_features,0.571–0.879)
hp24,step_features,0.365–0.743)
hp24,hr_features,0.590–0.918)
hp24,stress_features,0.653–0.942)
hp24,cumulative,0.534–0.880)
hp24,ratios,0.710–0.948)
hp24,bp_lags,0.455–0.803)
hp25,time_features,0.685–0.904)
hp25,step_features,0.694–0.914)
hp25,hr_features,0.655–0.886)
hp25,stress_features,0.515–0.782)
hp25,cumulative,0.685–0.899)
hp25,ratios,0.650–0.888)
hp25,bp_lags,0.717–0.923)
hp26,time_features,0.590–0.799)
hp26,step_features,0.655–0.845)
hp26,hr_features,0.612–0.808)
hp26,stress_features,0.644–0.826)
hp26,cumulative,0.643–0.839)
hp26,ratios,0.615–0.805)
hp26,bp_lags,0.574–0.767)
hp30,time_features,0.655–0.830)
hp30,step_features,0.645–0.804)
hp30,hr_features,0.678–0.837)
hp30,stress_features,0.699–0.852)
hp30,cumulative,0.671–0.831)
hp30,ratios,0.678–0.844)
hp30,bp_lags,0.704–0.857)
hp31,time_features,0.660–0.851)
hp31,step_features,0.577–0.795)
hp31,hr_features,0.634–0.838)
hp31,stress_features,0.628–0.825)
hp31,cumulative,0.610–0.799)
hp31,ratios,0.606–0.809)
hp31,bp_lags,0.633–0.827)
hp32,stress_features,0.571–0.936)
hp33,time_features,0.680–0.973)
hp33,step_features,0.378–1.000)
hp33,hr_features,0.649–0.946)
hp33,stress_features,0.811–1.000)
hp33,cumulative,0.730–0.971)
hp33,ratios,0.833–1.000)
hp33,bp_lags,0.595–1.000)
hp34,stress_features,0.571–1.000)
hp35,time_features,0.671–0.897)
hp35,step_features,0.742–0.973)
hp35,hr_features,0.747–0.952)
hp35,stress_features,0.601–0.918)
hp35,cumulative,0.737–0.898)
hp35,ratios,0.699–0.913)
hp35,bp_lags,0.769–0.959)
hp36,time_features,0.850–1.000)
hp36,step_features,0.697–1.000)
hp36,hr_features,1.000–1.000)
hp36,stress_features,0.667–1.000)
hp36,cumulative,0.634–1.000)
hp36,ratios,0.750–1.000)
hp36,bp_lags,0.750–1.000)
hp39,stress_features,0.333–1.000)
hp40,time_features,0.789–1.000)
hp40,step_features,0.619–1.000)
hp40,hr_features,0.750–1.000)
hp40,stress_features,1.000–1.000)
hp40,cumulative,1.000–1.000)
hp40,ratios,0.500–0.899)
hp40,bp_lags,1.000–1.000)
