threshold,sens_mean,sens_sd,sens_lo,sens_hi,spec_mean,spec_sd,spec_lo,spec_hi
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.01,1.0,0.0,1.0,1.0,0.05543016065148141,0.05384347074209068,0.0,0.1875
0.02,1.0,0.0,1.0,1.0,0.05543016065148141,0.05384347074209068,0.0,0.1875
0.03,1.0,0.0,1.0,1.0,0.15816701513032885,0.0866449772696683,0.0,0.35304621848739487
0.04,1.0,0.0,1.0,1.0,0.21053200913992354,0.09279293880623647,0.047619047619047616,0.4
0.05,1.0,0.0,1.0,1.0,0.2650892319887162,0.099150097147517,0.09090909090909091,0.4666666666666667
0.06,1.0,0.0,1.0,1.0,0.3187421328606345,0.10652967698163816,0.1111111111111111,0.526393188854489
0.07,1.0,0.0,1.0,1.0,0.3726817424077702,0.11088169887025259,0.15779352226720647,0.5911363636363635
0.08,1.0,0.0,1.0,1.0,0.3726817424077702,0.11088169887025259,0.15779352226720647,0.5911363636363635
0.09,1.0,0.0,1.0,1.0,0.3726817424077702,0.11088169887025259,0.15779352226720647,0.5911363636363635
0.1,1.0,0.0,1.0,1.0,0.42506296715100494,0.11433277598907571,0.2,0.6666666666666666
0.11,1.0,0.0,1.0,1.0,0.4800144222782646,0.11828794778173264,0.25,0.7058823529411765
0.12,1.0,0.0,1.0,1.0,0.5296263905903846,0.11786862108596936,0.29411764705882354,0.75
0.13,1.0,0.0,1.0,1.0,0.5803932624607179,0.11824510900519024,0.35,0.8002380952380951
0.14,1.0,0.0,1.0,1.0,0.5803932624607179,0.11824510900519024,0.35,0.8002380952380951
0.15,1.0,0.0,1.0,1.0,0.5803932624607179,0.11824510900519024,0.35,0.8002380952380951
0.16,1.0,0.0,1.0,1.0,0.6302115879072386,0.11521693075349693,0.4,0.85
0.17,1.0,0.0,1.0,1.0,0.6302115879072386,0.11521693075349693,0.4,0.85
0.18,1.0,0.0,1.0,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
0.19,1.0,0.0,1.0,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
0.2,0.8985067979406208,0.09797741332537432,0.6666666666666666,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
0.21,0.8985067979406208,0.09797741332537432,0.6666666666666666,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
0.22,0.8985067979406208,0.09797741332537432,0.6666666666666666,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
0.23,0.8985067979406208,0.09797741332537432,0.6666666666666666,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
0.24,0.8985067979406208,0.09797741332537432,0.6666666666666666,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
0.25,0.8985067979406208,0.09797741332537432,0.6666666666666666,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
0.26,0.8985067979406208,0.09797741332537432,0.6666666666666666,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
0.27,0.8985067979406208,0.09797741332537432,0.6666666666666666,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
0.28,0.79938498715337,0.13157459345218953,0.5,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
0.29,0.79938498715337,0.13157459345218953,0.5,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
0.3,0.79938498715337,0.13157459345218953,0.5,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
0.31,0.79938498715337,0.13157459345218953,0.5,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
0.32,0.79938498715337,0.13157459345218953,0.5,1.0,0.6827767797012814,0.1101890966571389,0.46653846153846157,0.8888888888888888
