participant,drop_group,AUROC
hp10,time_features,0.664–0.945)
hp10,step_features,0.697–0.958)
hp10,hr_features,0.721–0.958)
hp10,stress_features,0.597–0.875)
hp10,cumulative,0.626–0.967)
hp10,ratios,0.671–0.969)
hp15,time_features,0.660–0.849)
hp15,step_features,0.620–0.806)
hp15,hr_features,0.642–0.830)
hp15,stress_features,0.503–0.732)
hp15,cumulative,0.657–0.841)
hp15,ratios,0.629–0.829)
hp16,time_features,0.549–0.857)
hp16,step_features,0.634–0.883)
hp16,hr_features,0.367–0.726)
hp16,stress_features,0.449–0.792)
hp16,cumulative,0.474–0.797)
hp16,ratios,0.553–0.873)
hp17,time_features,nan–nan)
hp17,step_features,nan–nan)
hp17,hr_features,nan–nan)
hp17,stress_features,nan–nan)
hp17,cumulative,nan–nan)
hp17,ratios,nan–nan)
hp20,time_features,1.000–1.000)
hp20,step_features,0.709–1.000)
hp20,hr_features,0.692–1.000)
hp20,stress_features,0.809–1.000)
hp20,cumulative,0.800–1.000)
hp20,ratios,0.691–1.000)
hp24,time_features,0.535–0.951)
hp24,step_features,0.325–0.742)
hp24,hr_features,0.507–0.861)
hp24,stress_features,0.563–0.914)
hp24,cumulative,0.509–0.854)
hp24,ratios,0.506–0.854)
hp25,time_features,0.693–0.897)
hp25,step_features,0.695–0.921)
hp25,hr_features,0.683–0.912)
hp25,stress_features,0.535–0.811)
hp25,cumulative,0.708–0.918)
hp25,ratios,0.660–0.894)
hp26,time_features,0.558–0.777)
hp26,step_features,0.531–0.757)
hp26,hr_features,0.553–0.752)
hp26,stress_features,0.485–0.692)
hp26,cumulative,0.531–0.739)
hp26,ratios,0.485–0.702)
hp30,time_features,0.672–0.845)
hp30,step_features,0.632–0.799)
hp30,hr_features,0.662–0.827)
hp30,stress_features,0.674–0.835)
hp30,cumulative,0.684–0.844)
hp30,ratios,0.672–0.836)
hp31,time_features,0.618–0.817)
hp31,step_features,0.556–0.789)
hp31,hr_features,0.594–0.813)
hp31,stress_features,0.661–0.853)
hp31,cumulative,0.611–0.810)
hp31,ratios,0.628–0.836)
hp33,time_features,0.736–0.987)
hp33,step_features,0.278–0.722)
hp33,hr_features,0.611–1.000)
hp33,stress_features,0.656–0.941)
hp33,cumulative,0.622–0.973)
hp33,ratios,0.529–0.919)
hp35,time_features,0.698–0.918)
hp35,step_features,0.540–0.936)
hp35,hr_features,0.436–0.934)
hp35,stress_features,0.729–0.936)
hp35,cumulative,0.623–0.914)
hp35,ratios,0.687–0.931)
hp36,time_features,0.774–1.000)
hp36,step_features,0.615–1.000)
hp36,hr_features,1.000–1.000)
hp36,stress_features,1.000–1.000)
hp36,cumulative,0.774–1.000)
hp36,ratios,1.000–1.000)
hp39,time_features,1.000–1.000)
hp39,step_features,1.000–1.000)
hp39,hr_features,1.000–1.000)
hp39,stress_features,1.000–1.000)
hp39,cumulative,1.000–1.000)
hp39,ratios,1.000–1.000)
hp40,time_features,0.895–1.000)
hp40,step_features,0.842–1.000)
hp40,hr_features,0.842–1.000)
hp40,stress_features,1.000–1.000)
hp40,cumulative,0.800–1.000)
hp40,ratios,0.622–1.000)
