threshold,sens_mean,sens_sd,sens_lo,sens_hi,spec_mean,spec_sd,spec_lo,spec_hi
0.0,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.01,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.02,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.03,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.04,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.05,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.06,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.07,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.08,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.09,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.1,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.11,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.12,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.13,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.14,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.15,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.16,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.17,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.18,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.19,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.2,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.21,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.22,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.23,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.24,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.25,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.26,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.27,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.28,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.29,0.878,0.3274495735578558,0.0,1.0,0.0,0.0,0.0,0.0
0.3,0.878,0.3274495735578558,0.0,1.0,0.022478946021006533,0.022632107550816773,0.0,0.08333333333333333
0.31,0.878,0.3274495735578558,0.0,1.0,0.022478946021006533,0.022632107550816773,0.0,0.08333333333333333
0.32,0.878,0.3274495735578558,0.0,1.0,0.022478946021006533,0.022632107550816773,0.0,0.08333333333333333
0.33,0.878,0.3274495735578558,0.0,1.0,0.022478946021006533,0.022632107550816773,0.0,0.08333333333333333
0.34,0.878,0.3274495735578558,0.0,1.0,0.04467931087083117,0.02959689214312499,0.0,0.10869565217391304
0.35000000000000003,0.878,0.3274495735578558,0.0,1.0,0.04467931087083117,0.02959689214312499,0.0,0.10869565217391304
0.36,0.878,0.3274495735578558,0.0,1.0,0.04467931087083117,0.02959689214312499,0.0,0.10869565217391304
0.37,0.878,0.3274495735578558,0.0,1.0,0.04467931087083117,0.02959689214312499,0.0,0.10869565217391304
0.38,0.878,0.3274495735578558,0.0,1.0,0.04467931087083117,0.02959689214312499,0.0,0.10869565217391304
0.39,0.878,0.3274495735578558,0.0,1.0,0.06702459233984338,0.03534717012564384,0.0,0.14293154761904756
0.4,0.878,0.3274495735578558,0.0,1.0,0.06702459233984338,0.03534717012564384,0.0,0.14293154761904756
0.41000000000000003,0.878,0.3274495735578558,0.0,1.0,0.10904247400554694,0.044921433586976416,0.022210144927536233,0.1956521739130435
0.42,0.878,0.3274495735578558,0.0,1.0,0.13087104711822622,0.0490490727996157,0.043478260869565216,0.229251453488372
0.43,0.878,0.3274495735578558,0.0,1.0,0.15303450710969316,0.0535124889902275,0.06382978723404255,0.26666666666666666
0.44,0.878,0.3274495735578558,0.0,1.0,0.3012627568110258,0.06844092657626219,0.1702127659574468,0.4375
0.45,0.878,0.3274495735578558,0.0,1.0,0.43287300644759885,0.07213286564770535,0.28888888888888886,0.574468085106383
0.46,0.878,0.3274495735578558,0.0,1.0,0.4994726586467332,0.075409406483233,0.3540334302325582,0.6458333333333334
0.47000000000000003,0.878,0.3274495735578558,0.0,1.0,0.7167002244496212,0.06548382895064365,0.5909090909090909,0.8444444444444444
0.48,0.4402535714285714,0.38814753276374564,0.0,1.0,0.935464198787249,0.037892371030980775,0.8478260869565217,1.0
0.49,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.51,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.52,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.53,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.54,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.55,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.56,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.5700000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.58,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.59,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.61,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.62,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.63,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.64,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.65,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.66,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.67,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.68,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.6900000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.7000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.71,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.72,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.73,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.74,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.77,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.78,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.79,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.81,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.8200000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.8300000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.84,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.85,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.86,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.87,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.88,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.89,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.91,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.92,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.93,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.9400000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.9500000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.96,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.97,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.98,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.99,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
